Id,AOL,Division,Estrato,Slaboral
1,Insatisfecho,DCPRI,6,Activo
2,Insatisfecho,DCPRI,3,Inactivo
3,Insatisfecho,OTRAS,4,Activo
4,Insatisfecho,INGENIERÍA,1,Inactivo
5,Insatisfecho,NEGOCIOS,4,Activo
6,Insatisfecho,NEGOCIOS,4,Activo
7,Insatisfecho,DCPRI,5,Inactivo
8,Insatisfecho,DCPRI,5,Activo
9,Insatisfecho,DCPRI,4,Activo
10,Insatisfecho,NEGOCIOS,3,Inactivo
11,Insatisfecho,NEGOCIOS,6,Activo
12,Insatisfecho,OTRAS,3,Activo
13,Insatisfecho,NEGOCIOS,2,Activo
14,Insatisfecho,DCPRI,3,Activo
15,Insatisfecho,HUMANIDADES,3,Inactivo
16,Insatisfecho,OTRAS,3,Activo
17,Insatisfecho,HUMANIDADES,3,Activo
18,Insatisfecho,HUMANIDADES,3,Activo
19,Insatisfecho,SALUD,6,Activo
20,Insatisfecho,HUMANIDADES,4,Activo
21,Insatisfecho,SALUD,4,Activo
22,Insatisfecho,SALUD,4,Activo
23,Insatisfecho,INGENIERÍA,4,Activo
24,Insatisfecho,SALUD,3,Activo
25,Insatisfecho,SALUD,4,Activo
26,Insatisfecho,INGENIERÍA,3,Activo
27,Insatisfecho,OTRAS,3,Activo
28,Insatisfecho,NEGOCIOS,3,Inactivo
29,Insatisfecho,INGENIERÍA,1,Inactivo
30,Insatisfecho,OTRAS,3,Activo
31,Insatisfecho,NEGOCIOS,3,Activo
32,Insatisfecho,OTRAS,4,Activo
33,Insatisfecho,INGENIERÍA,5,Activo
34,Insatisfecho,AD,1,Activo
35,Insatisfecho,HUMANIDADES,2,Activo
36,Insatisfecho,OTRAS,5,Activo
37,Insatisfecho,HUMANIDADES,4,Inactivo
38,Insatisfecho,HUMANIDADES,3,Activo
39,Insatisfecho,OTRAS,3,Activo
40,Insatisfecho,INGENIERÍA,4,Inactivo
41,Insatisfecho,INGENIERÍA,1,Activo
42,Insatisfecho,OTRAS,1,Inactivo
43,Insatisfecho,NEGOCIOS,4,Activo
44,Insatisfecho,DCPRI,1,Inactivo
45,Insatisfecho,OTRAS,5,Inactivo
46,Insatisfecho,AD,2,Activo
47,Insatisfecho,AD,4,Activo
48,Insatisfecho,DCPRI,3,Inactivo
49,Insatisfecho,HUMANIDADES,4,Activo
50,Insatisfecho,NEGOCIOS,3,Activo
51,Insatisfecho,HUMANIDADES,4,Inactivo
52,Insatisfecho,HUMANIDADES,5,Activo
53,Insatisfecho,DCPRI,4,Activo
54,Insatisfecho,NEGOCIOS,5,Inactivo
55,Insatisfecho,HUMANIDADES,1,Inactivo
56,Insatisfecho,OTRAS,2,Activo
57,Insatisfecho,DCPRI,3,Inactivo
58,Insatisfecho,OTRAS,3,Activo
59,Insatisfecho,DCPRI,3,Activo
60,Insatisfecho,DCPRI,3,Activo
61,Insatisfecho,DCPRI,3,Activo
62,Insatisfecho,DCPRI,3,Inactivo
63,Insatisfecho,DCPRI,4,Activo
64,Insatisfecho,AD,3,Inactivo
