LOCALIDAD,BARRIO,Num_Hab,Num_Garaje,Num_baños,Tipo,Estrato,Uso_suelo,Nivel_ruido,Distancia_al_parque,Distancia_cc,Distancia_escula,Distancia_Uni,Distancia_transporte_convecional,Distancia_transmetro,Indicador_seguirdad,Valor_vivienda_millones,Log_Precio,Area
METROPOLITANA,LA CONCEPCION,3,1,2,Casa,Medio,Actividad Residencial,Medio,656.1,221.6,79.6,161.6,104.7,99.6,83.7,375,2.6,101.0
METROPOLITANA,LA CONCEPCION,3,2,2,Casa,Alto,Actividad Residencial,Medio,484.6,132.2,61.5,160.1,59.7,60.5,83.7,850,2.9,487.0
METROPOLITANA,LA CONCEPCION,3,1,2,Casa,Medio,Actividad Residencial,Medio,343.2,256.2,123.0,13.2,266.9,104.7,83.7,380,2.6,111.0
METROPOLITANA,LA CONCEPCION,3,2,2,Casa,Medio,Actividad Residencial,Medio,256.3,165.5,128.5,68.9,174.7,11.4,83.7,420,2.6,138.0
METROPOLITANA,LA CONCEPCION,10,2,4,Casa,Medio,SECTOR NORMATIVO 2,Medio,448.3,157.2,148.8,107.2,232.0,8.0,83.7,1760,3.2,440.0
METROPOLITANA,LA CONCEPCION,4,1,3,Casa,Medio,Actividad Residencial,Medio,914.4,199.8,139.2,283.3,72.8,68.4,83.7,550,2.7,121.0
METROPOLITANA,LA CONCEPCION,3,1,2,Apartamento,Medio,Actividad Residencial,Medio,612.3,161.6,179.1,202.8,37.5,41.5,83.7,330,2.5,104.0
METROPOLITANA,LA CONCEPCION,7,1,3,Casa,Medio,Actividad Residencial,Bajo,665.5,220.6,91.0,152.9,93.3,88.2,83.7,900,3.0,520.0
METROPOLITANA,LA CONCEPCION,6,4,3,Casa,Medio,Actividad Residencial,Medio,637.1,208.1,67.1,162.9,116.9,100.8,83.7,1050,3.0,278.0
METROPOLITANA,LA CONCEPCION,6,4,3,Casa,Medio,Actividad Residencial,Medio,539.9,197.2,107.8,219.6,161.4,56.3,83.7,850,2.9,310.0
METROPOLITANA,LA CONCEPCION,3,2,2,Casa,Medio,Actividad Residencial,Medio,446.6,270.1,71.7,79.1,255.1,37.5,83.7,415,2.6,120.0
METROPOLITANA,LA CONCEPCION,3,1,2,Casa,Medio,Actividad Residencial,Medio,340.4,250.2,116.5,11.2,263.2,100.7,83.7,380,2.6,111.0
METROPOLITANA,LA CONCEPCION,3,1,1,Casa,Medio,Actividad Residencial,Medio,666.0,159.1,160.5,258.1,43.3,47.1,83.7,890,2.9,340.0
METROPOLITANA,LA CONCEPCION,4,1,2,Casa,Medio,Actividad Residencial,Bajo,629.6,92.7,221.2,308.3,86.5,81.0,83.7,2000,3.3,400.0
METROPOLITANA,LA CONCEPCION,3,1,2,Casa,Medio,Actividad Residencial,Medio,537.3,56.9,85.9,217.2,38.9,39.6,83.7,350,2.5,90.0
METROPOLITANA,LA CONCEPCION,2,No especificado,1,Casa,Medio,Actividad Residencial,Medio,471.8,143.9,61.2,152.0,57.3,58.0,83.7,560,2.7,495.0
METROPOLITANA,LA CONCEPCION,3,2,2,Casa,Alto,Actividad Residencial,Medio,506.6,169.5,102.1,121.2,85.5,88.5,83.7,850,2.9,487.0
METROPOLITANA,LA CONCEPCION,3,1,2,Casa,Medio,Actividad Residencial,Medio,362.8,19.4,89.2,126.1,82.5,5.5,83.7,400,2.6,110.0
METROPOLITANA,LA CONCEPCION,6,4,2,Casa,Medio,Actividad Residencial,Medio,409.9,34.9,94.3,93.9,61.0,8.2,83.7,850,2.9,370.0
METROPOLITANA,LA CONCEPCION,6,4,2,Casa,Medio,SECTOR NORMATIVO 2,Medio,506.9,118.4,111.8,42.1,13.9,8.9,83.7,1050,3.0,278.0
METROPOLITANA,LA CONCEPCION,3,2,2,Casa,Alto,SECTOR NORMATIVO 2,Medio,531.5,21.1,56.6,54.0,96.4,40.8,83.7,850,2.9,487.0
