ID,MFACTOR,EFACTOR,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,STATUS
1,21,C,4.472,3.162,4,3.162,1.414,2.449,3.606,1.732,2,2.449,2.236,2.646,2.646,2,3.162,3.606,2.646,3.317,2.646,2.646,3.162,2.449,2.449,2,1.732,1.732,1.414,2.236,2,2,2.646,2,1.732,1.732,1.732,1,2
2,22,C,3.317,3,3,3.317,3.162,2.828,3.162,3.162,3,3.317,3.464,3.317,3.606,4.243,4.796,2.646,2.646,1.732,2.236,2.828,2.828,3,2.828,3,2.646,3.742,3,3.317,3.464,3.742,3.464,3,3.317,3,2.828,2.828,2
3,22,C,3.873,4,3.317,3.317,3.606,3.742,4.123,3.317,3,3.317,3.162,3.317,3.162,3.464,3.464,4,3.606,3,2.828,3,3,3.317,3.873,3.742,3.317,4.123,4.243,3.873,4.796,4.583,2.236,3.162,3.464,2.449,2.449,2.449,0
4,22,C,2.236,1.414,2.236,2.236,2.449,1.732,2.236,2.449,2,1.414,2.828,1.732,1.414,2.236,1.732,2.646,2,2.449,2,2,2,2.236,2,2.236,2,2.236,2,2.449,1.732,2,2.236,2.646,2.236,1.414,2,2,1
5,22,B,2,2,2,2,2,2,2,2,2.236,2,2,2.236,2,2,2,2,2.828,2.236,2.236,2.236,2.449,2.449,2.646,2.449,2.449,2.449,2.449,2.236,2.236,2.236,2.236,1.732,2,2.236,2.236,3.317,2
6,22,C,3.317,3,3,3,3.464,3.162,3.742,3,3,3,3.162,3,3.317,3,2.828,3.162,3,3.317,3.742,4,3.464,3.464,2.646,2.236,2.236,2.236,2.449,2.646,2.449,2,2.828,2.646,2,2.828,3.162,2.828,1
7,2,C,2,1.732,2,1.732,1.732,1.732,1,1.414,1.414,2,1.732,1.732,1.732,1.732,2.236,1.414,1.732,2,1.732,1.414,1.732,1.732,3.464,2.236,1,1.732,2,2,2.828,1.732,1.732,1.732,1.414,1.732,1.414,1.414,1
8,22,B,2.646,2.449,3.317,3,3,2,3,2.828,2.646,3,2.828,3,3.162,3,3.162,3.873,3.162,3.162,2.449,2.828,2.646,2.828,3,3,2.828,3,2.828,1.732,3,3,3.162,2.449,2.449,3.162,3.162,2.828,1
9,22,C,3.742,3.606,3,3.742,3.317,3,4,4.69,4.359,4.583,4.69,4.583,5.657,4.472,4.472,4.796,3.464,3.464,3.464,2.449,3.317,2.828,2,2.646,2,2.828,2.236,2.236,2.236,1,2.828,2,2.828,2.236,2,2.236,2
10,22,C,2.236,2.236,2.646,2.828,2.236,2.449,2,2.236,2.449,2,2.236,2,2.236,2.236,2.236,2.236,2.236,2.646,2,2.828,1.732,2,2.449,2,2,2,2,2,2,2,1.732,2,2,2,2.236,2,0
11,22,C,1.732,1.414,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,0
12,46,C,2.646,2.828,3.742,3.464,3.317,3.464,4.359,3.464,3.464,3.742,3.464,3.464,3.873,4.899,5,3,3,3.873,2,2.646,2.236,2.828,1.732,2.236,2,2.449,2.236,2.236,2.449,2.449,3,2.828,2.449,2.236,2.646,2.449,1
13,22,C,3.742,4.243,3.742,3.317,3.317,3,3.162,2.646,3.162,3,2.828,3.162,3,2.828,2.828,2.236,2.449,2.449,2.646,2.236,2.236,2.646,2,3.606,3.464,2.646,2.828,2.828,2.828,2.828,2.828,2.828,3,3.162,2.646,2.828,0
14,98,C,2,2.449,2.236,2.449,2.828,2.646,2.236,2.449,2.449,2.449,2.449,2.449,2.646,2.646,2,2.449,2.449,2.449,2.449,2.646,2.449,2,2,1.732,1.732,1.732,2.236,2.449,1.414,2,2.646,2.449,2.449,2.449,2.236,2,1
15,22,C,4.796,4.583,4.472,4.359,4,4,3.606,3.464,2.828,5.099,4.243,4,4.583,4.899,4.243,4.472,4.69,4.796,4.472,5.099,3.606,3.464,3.464,3.742,3.606,3.317,4,3.742,4.243,3.742,3.606,3.317,3.606,3,2.646,3.464,2
16,3,C,1.732,2,1.414,2,2.236,1.732,2.449,2.236,2.449,2.236,3.873,3.742,3.742,4,4.123,3.317,3.873,3.317,3.464,3.317,3.464,2.828,5.292,4.359,4.243,4,3.317,3.873,3.317,2.449,2.828,2.646,2.449,3.317,2,4.243,2
