ID,Met,Norte,Rio,Sor,Socc,Valor de vivienda,Area,Habitaciones,Garajes,Baños,Casa,Apartamento,E_Bajo,E_Medio,E_Alto,D_Parques,D_salud,D_Comercios,D_Centros educativos,D_Transmetro ,D_Bus,R_Bajo,R_Medio,R_Alto,S_Bajo,S_Medio,S_Alto,Residencial,Comercial,Institucional,Otros,Densidad
1,1,0,0,0,0,375,101,3,1,2,1,0,0,1,0,656.14,221.56,79.65,161.60,104.73,99.61,0,1,0,0,0,1,1,0,0,0,0.00
2,1,0,0,0,0,850,487,3,2,2,1,0,0,0,1,484.61,132.23,61.51,160.11,59.75,60.50,0,1,0,0,0,1,1,0,0,0,0.02
3,1,0,0,0,0,380,111,3,1,2,1,0,0,1,0,343.17,256.21,123.02,13.24,266.85,104.73,0,1,0,0,0,1,1,0,0,0,0.01
4,1,0,0,0,0,420,138,3,2,2,1,0,0,1,0,256.34,165.46,128.49,68.85,174.71,11.40,0,1,0,0,0,1,1,0,0,0,0.02
5,1,0,0,0,0,1760,440,10,2,4,1,0,0,1,0,448.27,157.19,148.79,107.18,232.03,8.00,0,1,0,0,0,1,0,0,0,1,0.00
6,1,0,0,0,0,550,121,4,1,3,1,0,0,1,0,914.43,199.80,139.18,283.26,72.84,68.44,0,1,0,0,0,1,1,0,0,0,0.00
7,1,0,0,0,0,330,104,3,1,2,0,1,0,1,0,612.32,161.65,179.05,202.76,37.51,41.47,0,1,0,0,0,1,1,0,0,0,0.01
8,1,0,0,0,0,900,520,7,1,3,1,0,0,1,0,665.51,220.57,90.98,152.86,93.34,88.22,1,0,0,0,0,1,1,0,0,0,0.00
9,1,0,0,0,0,1050,278,6,4,3,1,0,0,1,0,637.13,208.09,67.08,162.89,116.92,100.76,0,1,0,0,0,1,1,0,0,0,0.03
10,1,0,0,0,0,850,310,6,4,3,1,0,0,1,0,539.94,197.23,107.82,219.62,161.44,56.32,0,1,0,0,0,1,1,0,0,0,0.02
11,1,0,0,0,0,415,120,3,2,2,1,0,0,1,0,446.59,270.07,71.74,79.09,255.13,37.46,0,1,0,0,0,1,1,0,0,0,0.00
12,1,0,0,0,0,380,111,3,1,2,1,0,0,1,0,340.36,250.22,116.48,11.21,263.21,100.69,0,1,0,0,0,1,1,0,0,0,0.01
13,1,0,0,0,0,890,340,3,1,1,1,0,0,1,0,666.03,159.14,160.45,258.14,43.35,47.06,0,1,0,0,0,1,1,0,0,0,0.01
14,1,0,0,0,0,2000,400,4,1,2,1,0,0,1,0,629.56,92.72,221.19,308.33,86.45,81.01,1,0,0,0,0,1,1,0,0,0,0.00
15,1,0,0,0,0,350,90,3,1,2,1,0,0,1,0,537.31,56.89,85.88,217.20,38.94,39.57,0,1,0,0,0,1,1,0,0,0,0.00
16,1,0,0,0,0,560,495,2,0,1,1,0,0,1,0,471.84,143.89,61.17,151.97,57.25,58.01,0,1,0,0,0,1,1,0,0,0,0.00
17,1,0,0,0,0,850,487,3,2,2,1,0,0,0,1,506.57,169.55,102.13,121.19,85.55,88.48,0,1,0,0,0,1,1,0,0,0,0.00
18,1,0,0,0,0,400,110,3,1,2,1,0,0,1,0,362.80,19.43,89.20,126.12,82.52,5.48,0,1,0,0,0,1,1,0,0,0,0.00
